Farm_ID,Crop,Soil_Type,Season,Irrigation_Type,Nitrogen,Phosphorus,Potassium,Soil_pH,Temperature_C,Humidity_%,Rainfall_mm,Soil_Moisture_%,Farm_Area_ha,Water_Availability_L,Water_Requirement_mm,Yield_ton_per_ha,Water_Efficiency
1073,Groundnut,Loamy,Kharif,Drip,35,55,45,6.42,31.14,70.03,658.85,59.88,71.93,752161759.7,448.87,2.07,0.00461
1074,Tomato,Red,Rabi,Sprinkler,77,42,49,6.62,26.38,65.97,262.69,51.71,8.86,88430537.95,515.84,66.12,0.12818
1075,Wheat,Alluvial,Rabi,Drip,85,45,32,6.2,15.47,42.84,162.19,58.72,2.93,24594961.49,659.41,3.74,0.00567
1076,Cotton,Loamy,Kharif,Sprinkler,65,65,70,6.62,21.49,50.35,904.6,49.48,6.24,64052283.86,958.48,2.34,0.00244
1077,Tomato,Alluvial,Rabi,Drip,61,58,87,6.79,22.04,63.79,454.36,44.43,275.26,2816894200.24,450.18,36.5,0.08108
1078,Cotton,Black,Kharif,Furrow,52,59,33,6.07,27.01,69.88,670.99,47.83,4.44,30074536.56,802.16,2.42,0.00302
1079,Cotton,Alluvial,Kharif,Drip,50,37,75,7.95,33.07,45.17,875.44,52.19,798.6,11620043571.92,860.46,1.68,0.00195
1080,Wheat,Loamy,Rabi,Drip,87,52,36,6.23,24.52,57.16,101.83,53.29,939.69,9854204789.1,677.47,3.5,0.00517
1081,Sugarcane,Loamy,Kharif,Drip,155,69,57,6.3,28.07,73.51,1254.16,87.16,7.13,22155573.58,1634.77,95.93,0.05868
1082,Groundnut,Red,Rabi,Rainfed,60,44,48,6.07,22.52,67.01,497.51,43.36,29.75,123557446.57,521.23,1.9,0.00365
1083,Millet,Loamy,Kharif,Drip,73,24,25,6.06,34.88,55.84,428.84,42.05,7.03,17690764.05,323.16,1.48,0.00458
1084,Cotton,Black,Kharif,Drip,116,56,80,7.12,33.01,67.23,706.72,41.26,4.17,21632799.9,1102.63,2.49,0.00226
1085,Tomato,Loamy,Rabi,Furrow,93,39,64,6.1,26.4,60.17,475.84,59.16,7.78,87356008.02,459.91,48.15,0.10469
1086,Tomato,Alluvial,Kharif,Sprinkler,93,45,50,6.47,19.51,55.09,445.78,45.1,7.36,102250941.99,595.89,34.96,0.05867
1087,Cotton,Alluvial,Kharif,Sprinkler,87,48,50,6.28,24.69,53.01,786.17,45.99,6.64,80291824.19,797.11,3.08,0.00386
1088,Cotton,Black,Kharif,Furrow,84,30,62,6.46,34.1,54.79,509.94,39.25,8.01,104029287.75,967.53,1.36,0.00141
1089,Rice,Alluvial,Kharif,Furrow,121,51,63,6.38,32.53,76.85,1100.85,80.31,38.03,459070251.06,1344.67,6.26,0.00466
1090,Maize,Red,Kharif,Rainfed,100,61,39,6.19,27.7,79.97,421.9,54.19,9.3,127065991.67,611.25,5.58,0.00913
1091,Sugarcane,Loamy,Zaid,Drip,137,70,97,6.12,30.79,92.72,1560.51,89.05,6.15,18635135.64,2023.16,55.54,0.02745
1092,Cotton,Black,Kharif,Furrow,73,50,74,6.46,23.71,69.03,982.16,53.83,29.61,152338558.99,687.84,1.51,0.0022
1093,Tomato,Red,Kharif,Furrow,94,58,50,6.87,25.36,60.79,593.86,63.6,97.95,1322349303.03,570.67,32.15,0.05634
1094,Tomato,Loamy,Zaid,Furrow,83,64,65,5.56,19.04,50.66,317.61,36.61,6.8,88359740.62,412.84,36.2,0.08769
1095,Sugarcane,Alluvial,Kharif,Furrow,137,53,81,7.67,35.97,88.48,1356.38,75.83,2.84,41876333.32,2587.11,64.26,0.02484
1096,Tomato,Laterite,Rabi,Furrow,64,42,51,6.23,20.69,69.45,229.93,38.11,4.81,59435962.81,529.19,40.17,0.07591
1097,Sugarcane,Clay,Kharif,Drip,113,73,58,7.16,28.31,92.8,1583.88,83.22,6.61,39409522.72,1575.61,74.14,0.04705
1098,Groundnut,Laterite,Kharif,Sprinkler,59,58,63,6.98,27.59,73.16,660.76,55.47,97.85,644726964.33,384.29,2.2,0.00572
1099,Groundnut,Laterite,Kharif,Drip,70,35,50,5.58,25.59,67.79,492.36,34.32,9.82,145603102.51,561.67,2.01,0.00358
1100,Cotton,Alluvial,Kharif,Sprinkler,104,59,58,7.37,27.55,51.37,522.87,60.15,6.52,61746437.12,1032.66,2.08,0.00201
1101,Millet,Sandy,Kharif,Sprinkler,83,46,49,6.94,32.17,55.25,193.52,43.06,68.61,265047472.11,362.74,2.52,0.00695
1102,Sugarcane,Loamy,Zaid,Furrow,150,68,102,6.2,35.91,74.97,1014.76,67.55,7.95,21406963.04,2229.99,75.37,0.0338
1103,Wheat,Loamy,Rabi,Flood,63,64,63,6.17,13.25,53.8,89.04,46.18,179.54,2065606823.94,539.91,3.01,0.00558
1104,Sugarcane,Black,Kharif,Drip,135,66,102,7.42,35.09,86.62,1054.59,87.61,88.51,315289934.2,2513.16,90.21,0.0359
1105,Groundnut,Laterite,Rabi,Rainfed,38,32,69,6.69,23.81,70.82,511.63,46.32,5.97,29791407.07,371.9,1.61,0.00433
1106,Sugarcane,Alluvial,Kharif,Flood,113,60,71,6.95,31.66,70.38,1241.49,87.51,5.41,15827075.45,2420.91,78.99,0.03263
1107,Cotton,Black,Kharif,Furrow,89,60,74,7.39,29.57,49.91,870.85,50.96,542.77,2833939663.99,1067.19,1.86,0.00174
1108,Rice,Alluvial,Kharif,Furrow,127,61,40,5.86,31.46,82.62,948.6,83.61,7.78,110722473.6,1571.05,5.97,0.0038
1109,Groundnut,Red,Rabi,Rainfed,59,37,47,7.13,30.95,54.78,446.01,40.93,822.11,11171085602.29,509.25,1.53,0.003
1110,Rice,Alluvial,Kharif,Flood,105,67,48,6.2,29.61,75.64,804.56,84.11,2.08,12409654.9,1449.66,5.09,0.00351
1111,Millet,Loamy,Kharif,Drip,57,15,33,7.16,25.94,56.82,224.49,42.95,5.86,22866013.59,371.16,2.04,0.0055
1112,Groundnut,Laterite,Rabi,Rainfed,46,56,31,6.35,27.58,69.1,622.86,56.64,6.57,26112585.43,507.25,2.98,0.00587
1113,Tomato,Laterite,Zaid,Drip,86,49,42,6.52,21.4,52.08,442.64,56.97,0.26,1518741.76,652.7,71.25,0.10916
1114,Rice,Clay,Kharif,Drip,115,35,42,6.09,31.59,93.56,1121.09,70.66,3.92,33322901.92,1703.2,6.48,0.0038
1115,Rice,Clay,Kharif,Flood,129,65,38,6.07,32.94,80.61,1165.15,86.19,45.73,301840568.94,1644.08,5.32,0.00324
1116,Maize,Loamy,Rabi,Drip,78,31,45,6.38,24.02,68.47,318.96,45.03,2.62,26120537.82,519.05,5.21,0.01004
1117,Tomato,Alluvial,Zaid,Sprinkler,91,68,54,6.78,25.34,68.44,285.14,42.27,3.22,14152457.61,437.49,37.21,0.08505
1118,Maize,Loamy,Rabi,Furrow,105,45,58,6.56,23.58,66.57,767.71,66.07,7.04,60680141.98,748.28,3.58,0.00478
1119,Cotton,Black,Kharif,Furrow,104,35,30,7.48,22.19,48.2,890.85,55.69,86.62,1295292403.41,873.54,2.08,0.00238
1120,Cotton,Black,Kharif,Furrow,62,40,73,6.71,33.24,46.83,555.53,36.21,46.24,331464982.26,831.06,1.99,0.00239
1121,Sugarcane,Loamy,Zaid,Furrow,135,72,89,6.19,27.88,84.28,932.98,72.21,2.38,13342996.34,2196.78,93.84,0.04272
1122,Millet,Red,Kharif,Sprinkler,68,31,59,7.04,29.22,38.35,181.51,36.8,51.19,319202977.3,343.08,1.96,0.00571
1123,Cotton,Black,Kharif,Drip,108,42,34,7.78,21.38,60.67,529.16,58.39,9.18,43412215.98,880.25,2.65,0.00301
1124,Rice,Clay,Kharif,Furrow,106,44,35,6.13,32.12,80.75,1358.43,81.17,7.32,33862970.27,1487.0,3.98,0.00268
1125,Millet,Sandy,Zaid,Drip,83,39,33,5.97,26.47,31.93,443.01,33.42,8.03,94529345.72,455.34,2.78,0.00611
1126,Sugarcane,Black,Kharif,Furrow,132,59,99,6.16,32.5,75.86,1209.38,86.79,7.28,76623087.02,2581.32,104.98,0.04067
1127,Cotton,Loamy,Kharif,Drip,108,54,73,6.56,27.64,70.44,955.2,39.41,7.75,75585763.7,990.65,1.72,0.00174
1128,Tomato,Laterite,Rabi,Furrow,68,65,83,6.02,19.23,59.06,522.68,49.8,488.76,2157078733.69,496.34,41.3,0.08321
1129,Wheat,Alluvial,Rabi,Furrow,89,59,38,6.65,23.4,51.41,222.87,30.95,91.12,990777165.44,654.65,4.93,0.00753
1130,Wheat,Loamy,Rabi,Furrow,86,55,45,6.7,19.91,57.63,227.02,44.22,8.49,113461459.67,458.87,2.86,0.00623
1131,Maize,Red,Kharif,Rainfed,109,44,67,6.37,29.87,53.01,555.77,57.47,3.52,51916923.6,772.04,6.66,0.00863
1132,Maize,Red,Rabi,Rainfed,121,63,51,6.59,30.3,76.09,701.14,64.56,9.77,45975648.91,660.88,4.83,0.00731
1133,Rice,Alluvial,Kharif,Drip,92,58,65,6.56,24.49,81.34,620.57,86.64,5.79,55252278.08,1499.2,4.62,0.00308
1134,Maize,Loamy,Kharif,Rainfed,116,52,58,6.31,26.56,59.76,680.17,49.54,7.74,70435478.38,573.31,4.74,0.00827
1135,Maize,Alluvial,Rabi,Drip,108,59,38,6.91,26.88,78.72,655.89,58.22,4.03,11307646.5,681.17,5.16,0.00758
1136,Maize,Black,Rabi,Rainfed,76,53,41,6.13,25.57,75.49,403.42,51.02,130.57,433187236.44,621.13,6.59,0.01061
1137,Cotton,Loamy,Kharif,Furrow,81,37,51,6.4,28.96,49.35,899.48,49.74,26.66,206882157.48,819.95,3.18,0.00388
1138,Cotton,Black,Kharif,Sprinkler,54,45,70,6.9,28.86,61.93,528.08,42.49,5.69,17516079.52,1078.67,2.33,0.00216
1139,Millet,Sandy,Zaid,Rainfed,52,21,24,7.4,35.58,40.9,434.01,20.88,6.08,39466721.26,448.15,1.79,0.00399
1140,Sugarcane,Loamy,Kharif,Flood,107,68,61,6.21,25.5,87.24,1029.94,75.22,6.57,71271419.72,1482.6,78.72,0.0531
1141,Cotton,Black,Kharif,Furrow,97,53,49,7.66,21.78,71.8,634.33,36.28,4.7,58253372.19,884.49,2.58,0.00292
1142,Wheat,Loamy,Rabi,Flood,119,50,49,6.06,22.29,46.64,85.25,32.1,3.17,37704858.46,625.09,5.47,0.00875
1143,Rice,Clay,Kharif,Flood,85,51,40,6.27,24.98,79.27,1224.55,83.42,6.53,41934639.34,1660.71,5.71,0.00344
1144,Wheat,Loamy,Rabi,Drip,105,38,39,6.93,20.13,48.23,140.36,43.07,5.11,54092030.71,518.71,5.12,0.00987
1145,Tomato,Red,Zaid,Furrow,80,52,67,5.97,21.76,72.35,252.69,58.15,5.16,71756674.09,383.68,57.65,0.15026
1146,Tomato,Alluvial,Zaid,Furrow,65,60,58,5.93,25.25,74.03,236.12,63.76,827.51,8084312062.78,459.3,35.38,0.07703
1147,Maize,Loamy,Kharif,Sprinkler,116,59,36,7.01,22.89,54.81,335.45,61.34,3.2,27464867.12,793.03,3.99,0.00503
1148,Maize,Loamy,Kharif,Rainfed,98,36,49,6.31,21.32,50.81,351.49,49.56,6.85,92645411.34,696.31,3.71,0.00533
1149,Maize,Black,Kharif,Furrow,118,54,65,7.17,29.7,53.71,773.56,64.45,240.13,1816761309.08,807.07,5.17,0.00641
1150,Maize,Alluvial,Rabi,Drip,125,33,51,6.52,30.8,55.65,354.68,45.89,210.57,2657619097.55,618.72,3.88,0.00627
1151,Maize,Red,Rabi,Furrow,83,52,57,6.36,30.03,69.15,444.11,57.94,47.42,553450691.48,681.23,3.72,0.00546
1152,Wheat,Loamy,Rabi,Drip,108,46,43,7.09,19.12,49.81,65.26,57.77,1.19,6926595.15,591.14,5.44,0.0092
1153,Wheat,Loamy,Rabi,Sprinkler,88,54,47,6.85,13.48,40.46,173.87,36.15,2.25,20993669.06,661.62,3.24,0.0049
1154,Tomato,Laterite,Kharif,Sprinkler,110,56,66,6.14,23.1,63.83,312.04,39.85,76.22,572458861.94,421.95,33.1,0.07845
1155,Groundnut,Sandy,Rabi,Sprinkler,39,60,60,5.99,30.41,61.93,584.21,56.52,61.04,380082654.75,495.07,3.18,0.00642
1156,Tomato,Laterite,Rabi,Sprinkler,80,37,82,5.99,26.87,59.9,581.32,36.09,34.67,476171568.29,497.01,61.14,0.12302
1157,Cotton,Black,Kharif,Drip,57,53,59,6.29,24.01,63.46,561.93,49.09,59.9,843441157.48,734.81,2.95,0.00401
1158,Wheat,Loamy,Rabi,Furrow,76,59,69,6.4,14.39,51.58,82.96,50.61,31.68,221214863.5,474.26,3.13,0.0066
1159,Rice,Alluvial,Kharif,Drip,137,59,60,6.54,31.48,76.07,740.66,72.88,0.29,1450228.63,1694.85,4.39,0.00259
1160,Maize,Loamy,Rabi,Rainfed,70,46,50,6.35,30.56,71.65,318.01,63.69,822.93,5982144439.54,577.81,4.04,0.00699
1161,Cotton,Alluvial,Kharif,Furrow,57,45,55,7.15,25.38,73.25,850.14,42.98,5.26,73878729.92,804.58,2.09,0.0026
1162,Tomato,Alluvial,Zaid,Sprinkler,69,48,68,6.83,19.38,56.3,579.21,58.32,4.8,45662466.28,561.66,56.95,0.1014
1163,Maize,Alluvial,Kharif,Furrow,73,36,63,5.88,30.57,51.3,363.92,45.41,8.95,81947289.76,738.43,4.14,0.00561
1164,Millet,Sandy,Kharif,Rainfed,87,43,39,6.1,26.07,37.5,325.98,23.15,20.65,142487886.58,370.44,3.53,0.00953
1165,Wheat,Loamy,Rabi,Flood,103,56,32,7.34,16.21,48.95,184.56,51.54,1.73,25018158.28,577.09,4.26,0.00738
1166,Rice,Alluvial,Kharif,Flood,140,65,41,6.53,33.28,87.2,709.33,69.8,9.98,45277394.06,1464.55,3.54,0.00242
1167,Wheat,Loamy,Rabi,Sprinkler,94,34,53,6.34,21.26,42.64,174.61,42.77,6.8,84829389.65,595.53,4.38,0.00735
1168,Millet,Red,Zaid,Drip,47,21,63,7.39,26.05,63.11,382.64,22.67,9.35,82820567.22,281.1,1.82,0.00647
1169,Rice,Alluvial,Kharif,Drip,103,54,65,5.78,29.53,78.87,1347.87,81.06,6.07,66831760.15,1629.64,4.97,0.00305
1170,Cotton,Black,Kharif,Furrow,94,60,43,5.92,34.48,46.82,951.48,53.37,8.25,74777188.78,1130.53,1.95,0.00172
1171,Tomato,Red,Zaid,Furrow,71,35,74,6.93,21.31,72.56,403.4,44.26,5.9,20393822.72,479.26,43.67,0.09112
1172,Millet,Loamy,Zaid,Rainfed,72,21,24,7.1,31.88,33.53,236.04,23.43,5.52,58172271.81,376.51,1.54,0.00409
1173,Groundnut,Red,Rabi,Sprinkler,61,26,59,6.67,28.67,56.96,425.62,50.49,4.36,39256245.87,481.72,1.89,0.00392
1174,Wheat,Alluvial,Rabi,Drip,94,49,36,6.61,17.66,40.95,172.14,52.51,2.25,30677738.55,547.84,4.37,0.00798
1175,Wheat,Clay,Rabi,Flood,78,51,60,6.06,18.23,53.51,174.97,51.93,5.34,72205224.38,484.52,5.52,0.01139
1176,Cotton,Loamy,Kharif,Furrow,115,34,66,6.34,27.03,56.61,517.91,47.32,8.5,74476167.78,761.57,2.94,0.00386
1177,Wheat,Clay,Rabi,Furrow,96,50,36,6.93,21.36,65.64,113.73,31.02,7.85,95493960.12,581.94,5.81,0.00998
1178,Rice,Clay,Kharif,Flood,115,47,67,6.33,25.82,89.98,1293.7,89.34,8.25,85923725.73,1144.21,4.85,0.00424
1179,Maize,Loamy,Kharif,Furrow,80,34,36,6.93,20.19,72.41,666.33,59.49,21.31,305474302.12,521.86,4.07,0.0078
1180,Rice,Alluvial,Kharif,Furrow,133,44,43,5.61,25.61,80.96,1387.67,86.53,115.16,455380357.61,1519.87,5.37,0.00353
1181,Sugarcane,Clay,Zaid,Flood,112,83,98,7.49,30.82,68.01,1242.49,89.28,9.77,77052664.27,2070.53,98.58,0.04761
1182,Tomato,Red,Rabi,Drip,86,64,55,5.65,27.93,64.5,468.99,60.82,95.21,621747884.06,481.16,58.98,0.12258
1183,Sugarcane,Black,Zaid,Drip,101,82,60,6.75,29.55,70.12,1324.58,85.12,9.64,83623386.82,1711.09,86.74,0.05069
1184,Tomato,Red,Zaid,Sprinkler,82,62,78,6.41,18.93,55.4,412.9,55.84,7.9,72955426.64,517.57,52.03,0.10053
1185,Wheat,Loamy,Rabi,Furrow,107,39,52,6.1,20.61,48.16,109.71,59.81,3.99,10266805.57,544.37,5.52,0.01014
1186,Millet,Loamy,Kharif,Drip,90,32,26,7.42,25.03,53.63,185.59,31.45,9.9,73630440.54,330.91,1.43,0.00432
1187,Maize,Alluvial,Kharif,Sprinkler,105,30,50,6.1,25.89,50.38,799.74,49.96,89.97,437679118.15,838.56,4.48,0.00534
1188,Sugarcane,Loamy,Kharif,Furrow,147,71,80,7.29,22.07,92.42,1346.35,76.96,762.86,9777814920.63,1972.14,53.14,0.02695
1189,Millet,Red,Zaid,Sprinkler,33,27,29,6.81,31.86,41.38,441.9,22.33,0.45,5465112.25,414.12,1.83,0.00442
1190,Millet,Red,Zaid,Rainfed,57,33,29,6.24,31.77,45.19,413.42,37.96,40.38,405501653.47,448.82,1.48,0.0033
1191,Sugarcane,Loamy,Kharif,Flood,142,48,57,7.58,35.28,85.86,1179.59,78.06,396.27,1938378361.49,1896.35,107.22,0.05654
1192,Rice,Loamy,Kharif,Drip,109,68,59,5.84,32.05,80.57,1567.79,87.04,7.08,50736389.17,1875.25,5.19,0.00277
1193,Sugarcane,Black,Kharif,Drip,98,58,102,7.18,23.35,79.37,744.76,71.85,9.52,102912574.1,1496.49,82.59,0.05519
1194,Cotton,Alluvial,Kharif,Drip,96,39,75,7.98,29.99,68.47,515.99,47.82,70.98,1003975445.77,928.3,1.57,0.00169
1195,Cotton,Black,Kharif,Sprinkler,117,61,35,6.56,29.82,55.24,841.27,58.26,1.98,17098583.01,753.83,1.9,0.00252
1196,Groundnut,Sandy,Kharif,Drip,39,52,68,7.11,30.22,50.02,548.81,35.0,670.36,7062199367.09,514.09,3.41,0.00663
1197,Millet,Loamy,Zaid,Rainfed,44,17,34,5.93,26.68,61.46,150.55,38.53,6.28,80274610.03,373.69,2.34,0.00626
1198,Millet,Red,Kharif,Rainfed,53,30,27,6.77,30.47,32.73,436.67,27.86,7.38,55774873.43,301.15,2.61,0.00867
1199,Tomato,Alluvial,Zaid,Furrow,50,45,77,5.85,20.51,50.35,312.76,42.4,1.94,10317007.07,559.04,48.82,0.08733
1200,Maize,Alluvial,Rabi,Furrow,124,39,59,6.71,23.38,53.74,676.47,57.04,8.05,43798032.06,684.29,3.74,0.00547
1201,Tomato,Red,Zaid,Sprinkler,54,60,65,6.54,26.41,63.66,414.56,53.8,16.83,49112235.49,667.93,43.26,0.06477
1202,Maize,Red,Kharif,Rainfed,113,41,33,6.17,21.85,71.71,589.47,41.93,197.13,1680156820.03,622.79,5.58,0.00896
1203,Maize,Black,Rabi,Drip,109,64,68,6.85,25.37,69.82,482.83,46.81,9.6,53395110.0,713.22,5.7,0.00799
1204,Sugarcane,Alluvial,Kharif,Drip,140,72,71,6.79,32.06,71.82,1173.71,66.3,99.62,1170012399.79,1811.5,113.46,0.06263
1205,Cotton,Alluvial,Kharif,Drip,67,51,64,7.99,32.22,74.98,812.91,49.91,19.91,114643054.35,801.17,3.35,0.00418
1206,Tomato,Red,Rabi,Drip,92,44,55,6.28,18.91,78.84,396.43,40.71,67.06,445614846.21,448.91,70.96,0.15807
1207,Groundnut,Red,Rabi,Drip,60,35,63,6.26,31.81,67.75,498.27,58.82,48.13,235564667.85,543.42,2.61,0.0048
1208,Cotton,Loamy,Kharif,Furrow,82,40,65,7.89,23.31,69.9,640.73,35.86,4.65,50497814.57,740.5,2.45,0.00331
1209,Rice,Loamy,Kharif,Flood,86,37,64,5.63,24.63,75.21,1300.58,80.88,58.19,149702136.3,1365.38,5.0,0.00366
1210,Sugarcane,Clay,Kharif,Furrow,91,53,89,7.75,24.44,65.97,1554.45,69.18,4.16,46489025.33,2510.37,66.51,0.02649
1211,Rice,Alluvial,Kharif,Drip,98,35,48,6.29,26.54,73.8,1296.23,86.08,57.75,813088043.87,1696.69,3.43,0.00202
1212,Sugarcane,Clay,Kharif,Drip,119,41,62,7.79,35.01,89.07,966.29,88.56,7.97,49863170.34,2447.44,69.87,0.02855
1213,Maize,Loamy,Kharif,Rainfed,113,46,48,7.01,24.06,55.98,504.6,61.32,1.89,17739847.58,800.22,5.11,0.00639
1214,Tomato,Alluvial,Rabi,Furrow,62,66,90,6.58,20.61,52.74,279.71,42.43,3.9,31945142.41,532.3,63.86,0.11997
1215,Maize,Red,Rabi,Drip,109,39,33,7.07,31.52,55.43,422.88,58.71,0.92,11553798.63,759.64,4.1,0.0054
1216,Tomato,Loamy,Kharif,Drip,106,74,80,5.62,22.89,52.04,566.08,57.28,9.35,109802754.6,663.16,49.61,0.07481
1217,Cotton,Black,Kharif,Drip,112,26,78,6.1,29.34,68.94,974.23,40.26,9.89,84153284.22,983.39,2.54,0.00258
1218,Wheat,Loamy,Rabi,Furrow,79,50,35,6.28,14.45,47.41,161.51,39.25,5.42,35393246.02,641.12,4.92,0.00767
1219,Cotton,Alluvial,Kharif,Sprinkler,80,25,65,6.91,23.92,45.05,853.47,54.88,6.47,35495636.73,952.48,2.56,0.00269
1220,Cotton,Alluvial,Kharif,Furrow,95,46,40,6.75,27.11,74.53,947.23,42.27,8.56,66939558.33,708.89,3.44,0.00485
1221,Tomato,Laterite,Zaid,Furrow,86,38,57,6.24,19.33,78.57,419.69,61.42,2.8,25720241.59,424.24,35.2,0.08297
1222,Groundnut,Loamy,Kharif,Rainfed,42,26,67,5.79,29.01,61.51,374.75,35.32,8.27,28951408.95,619.16,2.82,0.00455
1223,Groundnut,Sandy,Kharif,Rainfed,65,59,34,7.12,24.79,66.62,411.19,54.52,993.28,10652476073.47,399.22,2.04,0.00511
1224,Millet,Red,Kharif,Drip,37,21,26,7.37,32.52,31.77,445.27,40.2,70.84,630821257.07,377.87,1.32,0.00349
1225,Millet,Red,Zaid,Rainfed,52,33,43,6.07,27.97,52.71,278.78,30.65,301.53,1470730531.79,312.54,2.98,0.00953
1226,Tomato,Loamy,Kharif,Furrow,76,38,61,6.81,27.11,65.6,387.44,63.8,90.92,320805271.87,663.08,77.87,0.11744
1227,Cotton,Loamy,Kharif,Sprinkler,96,53,61,6.71,25.71,69.13,827.22,41.02,5.07,52961477.98,865.12,1.92,0.00222
1228,Groundnut,Red,Rabi,Sprinkler,29,28,33,6.53,31.32,69.48,611.0,39.91,55.08,506025970.69,432.33,2.25,0.0052
1229,Maize,Loamy,Kharif,Drip,89,33,30,6.67,20.48,62.98,712.39,69.97,2.91,33155927.09,724.73,4.22,0.00582
1230,Rice,Loamy,Kharif,Flood,105,62,43,6.18,33.23,75.0,913.06,86.57,0.57,4991782.92,1579.47,4.41,0.00279
1231,Millet,Red,Zaid,Rainfed,31,24,37,6.78,34.8,52.74,343.85,40.42,0.7,10489708.09,328.05,1.9,0.00579
1232,Tomato,Alluvial,Zaid,Furrow,102,37,44,6.19,22.22,56.05,349.0,54.54,533.7,1814718518.74,660.53,45.57,0.06899
1233,Sugarcane,Alluvial,Kharif,Furrow,109,59,69,6.98,29.95,91.89,949.81,84.51,3.13,23024274.97,1717.38,93.29,0.05432
1234,Maize,Black,Kharif,Sprinkler,99,37,36,6.86,27.96,78.48,564.71,59.63,1.55,17832046.74,761.08,6.07,0.00798
1235,Cotton,Alluvial,Kharif,Drip,97,44,72,6.08,25.57,48.74,563.01,35.64,8.35,38469082.48,1090.59,2.83,0.00259
1236,Sugarcane,Black,Kharif,Drip,91,61,71,6.87,27.3,73.84,1513.26,66.79,6.51,24787530.93,1971.36,57.09,0.02896
1237,Millet,Sandy,Zaid,Drip,47,25,55,6.96,27.26,46.67,179.1,37.9,40.41,553914707.92,290.46,1.65,0.00568
1238,Tomato,Red,Kharif,Sprinkler,58,37,71,6.64,26.33,79.61,343.81,43.28,29.29,260882124.37,608.22,66.78,0.1098
1239,Millet,Loamy,Kharif,Rainfed,80,43,42,6.98,29.01,58.38,397.17,34.16,657.84,5779093945.23,414.48,2.41,0.00581
1240,Tomato,Loamy,Zaid,Furrow,76,53,78,6.32,25.99,53.29,302.24,56.64,327.9,1525157028.26,660.67,37.42,0.05664
1241,Wheat,Alluvial,Rabi,Flood,104,49,48,7.19,14.24,46.4,159.76,33.46,3.34,13390992.58,605.44,4.83,0.00798
1242,Groundnut,Laterite,Kharif,Rainfed,51,33,54,6.32,28.64,71.3,406.71,54.42,2.14,7353868.59,412.15,1.54,0.00374
1243,Millet,Sandy,Zaid,Drip,79,35,51,7.12,34.89,40.23,199.34,30.24,1.26,11019888.67,486.72,2.18,0.00448
1244,Millet,Red,Kharif,Rainfed,84,28,62,6.49,28.37,46.89,215.78,31.96,97.25,347832670.72,409.09,2.06,0.00504
1245,Groundnut,Red,Kharif,Rainfed,31,44,66,5.52,29.55,58.94,373.14,45.27,1.76,24237894.01,554.16,1.51,0.00272
1246,Cotton,Alluvial,Kharif,Drip,95,49,66,7.35,23.1,72.22,661.14,36.55,0.59,7860448.36,890.5,1.54,0.00173
1247,Rice,Alluvial,Kharif,Drip,129,49,70,5.54,31.25,94.98,1397.12,75.16,36.32,323495154.29,1287.35,4.04,0.00314
1248,Groundnut,Loamy,Kharif,Rainfed,40,60,38,6.94,29.05,58.28,433.18,33.84,9.61,27124808.88,491.25,3.01,0.00613
1249,Cotton,Loamy,Kharif,Sprinkler,92,40,31,6.06,30.25,55.76,911.5,53.92,7.84,64934057.61,1025.78,2.85,0.00278
1250,Tomato,Loamy,Kharif,Drip,79,62,57,6.55,21.15,66.25,244.53,35.69,0.39,3700971.33,415.58,45.59,0.1097
1251,Maize,Loamy,Rabi,Drip,129,51,63,6.01,25.0,62.93,481.06,54.87,7.11,92027204.66,585.88,7.1,0.01212
1252,Cotton,Alluvial,Kharif,Furrow,106,37,65,7.59,27.87,47.63,893.09,47.22,4.48,66285779.23,779.34,2.11,0.00271
1253,Maize,Alluvial,Kharif,Rainfed,111,48,35,5.96,28.87,69.45,546.88,55.85,200.78,1798917100.88,618.07,7.06,0.01142
1254,Rice,Loamy,Kharif,Furrow,129,64,48,6.65,27.78,76.78,1209.89,70.68,8.0,47030917.89,1797.33,5.37,0.00299
1255,Sugarcane,Alluvial,Kharif,Furrow,141,72,59,7.43,30.16,69.49,1481.41,72.8,94.21,328354912.18,2003.1,56.74,0.02833
1256,Maize,Black,Kharif,Drip,126,53,67,6.4,24.04,63.97,621.77,56.23,4.71,18290698.08,651.53,4.3,0.0066
1257,Sugarcane,Clay,Kharif,Drip,127,82,66,7.13,27.22,71.62,1290.76,71.82,9.17,123376645.64,1728.18,99.32,0.05747
1258,Sugarcane,Alluvial,Kharif,Drip,160,44,87,7.18,28.94,76.71,1549.46,81.02,83.54,883518248.61,2260.64,89.81,0.03973
1259,Cotton,Loamy,Kharif,Drip,93,55,33,7.08,22.44,73.48,823.33,51.67,3.56,35796235.99,840.04,2.51,0.00299
1260,Groundnut,Loamy,Kharif,Rainfed,36,31,54,6.28,30.51,72.36,615.74,39.59,214.32,1674767568.58,567.3,1.63,0.00287
1261,Tomato,Laterite,Kharif,Sprinkler,92,75,70,6.97,19.73,64.76,558.31,55.25,0.58,7682937.5,525.21,28.86,0.05495
1262,Rice,Loamy,Kharif,Furrow,89,58,53,6.23,27.43,70.7,1343.6,67.29,4.42,49450890.6,1616.59,4.88,0.00302
1263,Groundnut,Laterite,Rabi,Rainfed,50,34,50,6.23,26.91,61.3,503.66,36.31,662.36,7112079734.57,414.25,2.31,0.00558
